"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.0725998,0.0311142,0.0311142,0.0203982,0,0,0.107863,0,0,0.10607,0,0,0,0.080949,0.0227649,0.0311142,22.26,0.0449427,0.0544914,7.65655e-06,0,0,0
0.00215725,0.00212141,0.0521854,0.00370944,0.0167684,0.00809249,0,0,0.092084,-0.0339534,0,0.0420809,0,0,0,0.0535006,0.00239418,0.0167684,9.23148,0.0242211,0.0456495,3.30238e-06,0.02,0,0
0.00368336,0.00342345,0.0388081,0.00151131,0.0120958,0.00262521,0,0,0.0694518,-0.0275197,0,0.0136511,0,0,0,0.0389919,0.00132744,0.0120958,4.00655,0.0174717,0.0336004,1.29502e-06,0.04,0,0
0.00493532,0.00452955,0.0326135,-0.000158678,0.00973644,0.00156917,0,0,0.0594803,-0.0257273,0,0.0081597,0,0,0,0.0326884,-0.00023364,0.00973644,2.73506,0.0140637,0.0292409,7.98956e-07,0.06,0,0
0.00606257,0.00545672,0.0297539,-0.000349038,0.00882146,0.000958491,0,0,0.0544243,-0.0238433,0,0.00498415,0,0,0,0.0297844,-0.000379526,0.00882146,1.82186,0.0127421,0.0267765,6.07901e-07,0.08,0,0
0.0071123,0.00625632,0.0279433,-0.00042816,0.00825454,0.000659982,0,0,0.0511907,-0.022575,0,0.00343191,0,0,0,0.0279586,-0.000443504,0.00825454,1.33187,0.0119232,0.025205,5.04434e-07,0.1,0,0
0.0081102,0.00695104,0.0267194,-0.000430884,0.00788655,0.000475315,0,0,0.0489654,-0.0216253,0,0.00247164,0,0,0,0.0267277,-0.000439202,0.00788655,1.00266,0.0113917,0.0241075,4.40954e-07,0.12,0,0
0.00907091,0.00755701,0.0258337,-0.000418635,0.00762452,0.000355432,0,0,0.0473439,-0.0209122,0,0.00184824,0,0,0,0.0258385,-0.000423446,0.00762452,0.775541,0.0110132,0.0233046,3.98375e-07,0.14,0,0
0.010004,0.00808525,0.0251713,-0.00040063,0.00743121,0.000272126,0,0,0.0461243,-0.0203628,0,0.00141505,0,0,0,0.0251742,-0.000403525,0.00743121,0.609626,0.010734,0.0226982,3.68297e-07,0.16,0,0
0.0109159,0.0085439,0.0246644,-0.000381985,0.00728471,0.000211479,0,0,0.0451871,-0.0199334,0,0.00109969,0,0,0,0.0246661,-0.000383771,0.00728471,0.483731,0.0105224,0.0222308,3.46279e-07,0.18,0,0
0.0118114,0.00893908,0.0242723,-0.000364072,0.00717247,0.00016505,0,0,0.0444596,-0.019595,0,0.000858259,0,0,0,0.0242734,-0.000365178,0.00717247,0.383826,0.0103602,0.0218669,3.29827e-07,0.2,0,0
0.0126943,0.00927547,0.0239706,-0.000347178,0.00708702,0.000127424,0,0,0.0438973,-0.0193289,0,0.000662607,0,0,0,0.0239713,-0.000347846,0.00708702,0.300217,0.0102368,0.0215844,3.17489e-07,0.22,0,0
0.0135673,0.00955674,0.0237453,-0.000330978,0.00702431,9.48395e-05,0,0,0.0434747,-0.0191237,0,0.000493166,0,0,0,0.0237457,-0.000331352,0.00702431,0.22569,0.0101462,0.0213707,3.08435e-07,0.24,0,0
0.0144333,0.00978577,0.0235904,-0.000314833,0.00698266,6.45551e-05,0,0,0.04318,-0.0189735,0,0.000335687,0,0,0,0.0235905,-0.000315008,0.00698266,0.154724,0.0100861,0.0212197,3.02241e-07,0.26,0,0
0.0152945,0.00996496,0.0235052,-0.000297911,0.00696218,3.45446e-05,0,0,0.0430118,-0.0188762,0,0.000179632,0,0,0,0.0235052,-0.000297961,0.00696218,0.0831512,0.0100565,0.0211302,2.98765e-07,0.28,0,0
0.0161537,0.0100965,0.0234935,-0.000279265,0.00696426,3.37052e-06,0,0,0.042976,-0.0188332,0,1.75267e-05,0,0,0,0.0234935,-0.000279266,0.00696426,0.00812344,0.0100595,0.0211048,2.98075e-07,0.3,0,0
0.0170136,0.0101824,0.0235619,-0.000257914,0.00699119,-2.98324e-05,0,0,0.0430838,-0.0188477,0,-0.000155128,0,0,0,0.0235619,-0.000257951,0.00699119,-0.0717582,0.0100984,0.0211486,3.00395e-07,0.32,0,0
0.0178771,0.0102252,0.0237183,-0.000232914,0.00704561,-6.5311e-05,0,0,0.0433489,-0.0189242,0,-0.000339617,0,0,0,0.0237184,-0.000233093,0.00704561,-0.156235,0.010177,0.0212678,3.06066e-07,0.34,0,0
0.0187475,0.0102277,0.0239702,-0.000203486,0.00713002,-0.000102616,0,0,0.0437845,-0.0190671,0,-0.000533602,0,0,0,0.0239706,-0.000203922,0.00713002,-0.243211,0.0102989,0.0214686,3.15499e-07,0.36,0,0
0.0196285,0.0101936,0.0243228,-0.000169159,0.00724609,-0.000140512,0,0,0.0443994,-0.0192796,0,-0.000730665,0,0,0,0.0243236,-0.000169965,0.00724609,-0.328696,0.0104666,0.0217552,3.29117e-07,0.38,0,0
