"Displacements","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
1,0,0,0,0,0,0,0,0,0,0,0,0,0.54243,1.1838e-15,0,0.54243,0,0,0,45,0,0,0,0,0,0
0.9783,0,0,0,0,0,0,0,0,0,0,0,0,0.54237,6.0277e-05,0,0.54237,0,0,0,45,0,0,0,0.02,0,0
0.95661,0,0,0,0,0,0,0,0,0,0,0,0,0.54218,0.00012259,0,0.54218,0,0,0,45,0,0,0,0.04,0,0
0.93493,0,0,0,0,0,0,0,0,0,0,0,0,0.54187,0.00018899,0,0.54187,0,0,0,45,0,0,0,0.06,0,0
0.91326,0,0,0,0,0,0,0,0,0,0,0,0,0.54141,0.00026162,0,0.54141,0,0,0,45,0,0,0,0.08,0,0
0.89162,0,0,0,0,0,0,0,0,0,0,0,0,0.5408,0.00034269,0,0.5408,0,0,0,45,0,0,0,0.1,0,0
0.87,0,0,0,0,0,0,0,0,0,0,0,0,0.54002,0.00043453,0,0.54002,0,0,0,45,0,0,0,0.12,0,0
0.84841,0,0,0,0,0,0,0,0,0,0,0,0,0.53903,0.00053958,0,0.53903,0,0,0,45,0,0,0,0.14,0,0
0.82688,0,0,0,0,0,0,0,0,0,0,0,0,0.53782,0.00066035,0,0.53782,0,0,0,45,0,0,0,0.16,0,0
0.80539,0,0,0,0,0,0,0,0,0,0,0,0,0.53635,0.00079937,0,0.53635,0,0,0,45,0,0,0,0.18,0,0
0.78397,0,0,0,0,0,0,0,0,0,0,0,0,0.53458,0.00095909,0,0.53458,0,0,0,45,0,0,0,0.2,0,0
0.76262,0,0,0,0,0,0,0,0,0,0,0,0,0.53246,0.0011417,0,0.53246,0,0,0,45,0,0,0,0.22,0,0
0.74137,0,0,0,0,0,0,0,0,0,0,0,0,0.52995,0.0013488,0,0.52995,0,0,0,45,0,0,0,0.24,0,0
0.72023,0,0,0,0,0,0,0,0,0,0,0,0,0.527,0.0015813,0,0.52701,0,0,0,45,0,0,0,0.26,0,0
0.69921,0,0,0,0,0,0,0,0,0,0,0,0,0.52357,0.0018386,0,0.52357,0,0,0,45,0,0,0,0.28,0,0
0.67834,0,0,0,0,0,0,0,0,0,0,0,0,0.5196,0.0021181,0,0.5196,0,0,0,45,0,0,0,0.3,0,0
0.65764,0,0,0,0,0,0,0,0,0,0,0,0,0.51506,0.0024147,0,0.51506,0,0,0,45,0,0,0,0.32,0,0
0.63714,0,0,0,0,0,0,0,0,0,0,0,0,0.50992,0.00272,0,0.50993,0,0,0,45,0,0,0,0.34,0,0
0.61685,0,0,0,0,0,0,0,0,0,0,0,0,0.50419,0.0030213,0,0.5042,0,0,0,45,0,0,0,0.36,0,0
0.5968,0,0,0,0,0,0,0,0,0,0,0,0,0.49789,0.0033015,0,0.4979,0,0,0,45,0,0,0,0.38,0,0
0.57702,0,0,0,0,0,0,0,0,0,0,0,0,0.49108,0.0035384,0,0.4911,0,0,0,45,0,0,0,0.4,0,0
0.55751,0,0,0,0,0,0,0,0,0,0,0,0,0.4839,0.0037056,0,0.48391,0,0,0,45,0,0,0,0.42,0,0
0.53831,0,0,0,0,0,0,0,0,0,0,0,0,0.47649,0.0037741,0,0.47651,0,0,0,45,0,0,0,0.44,0,0
0.5194,0,0,0,0,0,0,0,0,0,0,0,0,0.46909,0.0037164,0,0.46911,0,0,0,45,0,0,0,0.46,0,0
0.50078,0,0,0,0,0,0,0,0,0,0,0,0,0.46197,0.0035107,0,0.46198,0,0,0,45,0,0,0,0.48,0,0
0.48244,0,0,0,0,0,0,0,0,0,0,0,0,0.45541,0.0031472,0,0.45543,0,0,0,45,0,0,0,0.5,0,0
0.46435,0,0,0,0,0,0,0,0,0,0,0,0,0.44973,0.0026303,0,0.44974,0,0,0,45,0,0,0,0.52,0,0
0.44646,0,0,0,0,0,0,0,0,0,0,0,0,0.4452,0.0019794,0,0.44521,0,0,0,45,0,0,0,0.54,0,0
0.42873,0,0,0,0,0,0,0,0,0,0,0,0,0.44205,0.0012262,0,0.44205,0,0,0,45,0,0,0,0.56,0,0
0.41109,0,0,0,0,0,0,0,0,0,0,0,0,0.44044,0.00040928,0,0.44044,0,0,0,45,0,0,0,0.58,0,0
0.39349,0,0,0,0,0,0,0,0,0,0,0,0,0.44046,-0.00042885,0,0.44046,0,0,0,45,0,0,0,0.6,0,0
0.37586,0,0,0,0,0,0,0,0,0,0,0,0,0.44211,-0.001245,0,0.44211,0,0,0,45,0,0,0,0.62,0,0
0.35813,0,0,0,0,0,0,0,0,0,0,0,0,0.44529,-0.0019968,0,0.4453,0,0,0,45,0,0,0,0.64,0,0
