"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-1.0662,-1.705,-1.8314,2.1684e-18,0,0,0.99476,0.16422,0,2.6021e-18,0,0,0.91967,1.6966e-15,0,0.91967,-1.0662,-1.705,-1.8314,1.9447e-16,-1.5342,0.71051,0.016476,0,0,0
0.019895,0,0.98161,-1.0453,-1.6648,-1.7946,0.0005857,0,0,0.97411,0.16882,0,0.0015228,0,0,0.92241,-0.0028117,0,0.92242,-1.0453,-1.6648,-1.7946,0.054174,-1.5016,0.69356,0.01513,0.02,0,0
0.038964,0,0.9631,-1.0521,-1.6255,-1.7664,0.0012934,0,0,0.92854,0.18314,0,0.0033627,0,0,0.93043,-0.0054222,0,0.93044,-1.0521,-1.6255,-1.7664,0.12924,-1.4814,0.65529,0.012231,0.04,0,0
0.057037,0,0.94439,-1.0642,-1.5768,-1.7367,0.0021185,0,0,0.87428,0.20782,0,0.005508,0,0,0.94304,-0.007583,0,0.94307,-1.0641,-1.5768,-1.7367,0.23676,-1.4592,0.60856,0.008939,0.06,0,0
0.073936,0,0.92538,-1.0809,-1.5186,-1.7052,0.0029363,0,0,0.81159,0.24267,0,0.0076343,0,0,0.9591,-0.0090226,0,0.95915,-1.0809,-1.5186,-1.7052,0.3844,-1.4349,0.55506,0.0055518,0.08,0,0
0.089501,0,0.90602,-1.1011,-1.4526,-1.6721,0.0034848,0,0,0.74235,0.28541,0,0.0090604,0,0,0.97705,-0.0095433,0,0.9771,-1.1011,-1.4526,-1.6721,0.56797,-1.4086,0.49895,0.0024735,0.1,0,0
0.10363,0,0.8863,-1.1226,-1.3834,-1.6381,0.0035732,0,0,0.67016,0.33115,0,0.0092903,0,0,0.99516,-0.0091295,0,0.9952,-1.1225,-1.3834,-1.6381,0.78487,-1.3813,0.44649,9.5184e-05,0.12,0,0
0.11631,0,0.86622,-1.1429,-1.3166,-1.6041,0.0031899,0,0,0.59953,0.37369,0,0.0082936,0,0,1.0119,-0.007965,0,1.0119,-1.1428,-1.3167,-1.6041,1.0516,-1.3545,0.40346,-0.0013864,0.14,0,0
0.12761,0,0.84583,-1.1599,-1.2573,-1.571,0.002571,0,0,0.53437,0.40783,0,0.0066846,0,0,1.026,-0.0063472,0,1.026,-1.1599,-1.2573,-1.571,1.512,-1.3294,0.37208,-0.0020463,0.16,0,0
0.13768,0,0.82518,-1.1723,-1.2078,-1.5392,0.0019575,0,0,0.47697,0.43087,0,0.0050895,0,0,1.0368,-0.0045497,0,1.0368,-1.1722,-1.2079,-1.5392,3.1503,-1.3064,0.35053,-0.0021351,0.18,0,0
0.14669,0,0.80435,-1.1795,-1.1684,-1.5087,0.0014909,0,0,0.42797,0.44241,0,0.0038764,0,0,1.0441,-0.0027363,0,1.0441,-1.1682,-1.1797,-1.5087,82.487,-1.2856,0.33491,-0.0019217,0.2,0,0
0.1548,0,0.78342,-1.1818,-1.1385,-1.4795,0.0011428,0,0,0.38704,0.44329,0,0.0029714,0,0,1.0478,-0.00095154,0,1.0478,-1.1385,-1.1818,-1.4795,88.488,-1.2666,0.32155,-0.0016035,0.22,0,0
0.16217,0,0.76244,-1.1795,-1.1172,-1.4514,0.00081164,0,0,0.35356,0.43454,0,0.0021103,0,0,1.0479,0.0008276,0,1.0479,-1.1172,-1.1795,-1.4514,89.254,-1.2494,0.30788,-0.0012943,0.24,0,0
0.16894,0,0.7415,-1.1729,-1.1038,-1.4245,0.00040313,0,0,0.32704,0.41699,0,0.0010481,0,0,1.0445,0.0026233,0,1.0445,-1.1038,-1.1729,-1.4245,89.666,-1.2337,0.29237,-0.0010452,0.26,0,0
0.17525,0,0.72067,-1.1627,-1.0976,-1.3987,-0.00010279,0,0,0.30692,0.39147,0,-0.00026727,0,0,1.0375,0.004389,0,1.0375,-1.0976,-1.1627,-1.3987,-89.909,-1.2197,0.27445,-0.00086407,0.28,0,0
